Brand,Model,Name,Size,Length (mm),Width (mm),Height (mm),Weight (grams),Shape,Hand compatibility,Hump placement,Front flare,Side curvature,Thumb rest,Ring finger rest,Sensor,Sensor type,Sensor position,DPI,Polling rate (Hz),Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons,Hot-swap switches,Switches,Scroll wheel encoder,Material,Connectivity,Sensor brand,Switches brand,Scroll wheel encoder brand
Pulsar,Xlite v4 eS Mini,Pulsar Xlite v4 eS Mini,Small,115.6,63.4,40.7,61.0,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,XS-1,Optical,Forward (56%),32000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Blue Encoder,Plastic,Wireless,Pulsar,RAESHA,Pulsar
Pulsar,Xlite v4 eS Medium,Pulsar Xlite v4 eS Medium,Medium,122.0,67.0,43.0,65.0,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,XS-1,Optical,Forward (56%),32000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Blue Encoder,Plastic,Wireless,Pulsar,RAESHA,Pulsar
Pulsar,X2H v3 eS Mini,Pulsar X2H v3 eS Mini,Small,115.6,62.0,38.0,64.0,Symmetrical,Right,Back - aggressive,Outward - slight,Inward,No,No,XS-1,Optical,Forward (55%),32000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Blue Encoder,Plastic,Wireless,Pulsar,RAESHA,Pulsar
Pulsar,X2H v3 eS,Pulsar X2H v3 eS,Medium,120.4,65.0,39.1,65.0,Symmetrical,Right,Back - aggressive,Outward - slight,Inward,No,No,XS-1,Optical,Forward (55%),32000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Blue Encoder,Plastic,Wireless,Pulsar,RAESHA,Pulsar
ThundeRobot,ML8,ThundeRobot ML8,Medium,118.1,61.7,39.1,49.0,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (53%),26000.0,4000.0,650.0,50.0,2.0,0.0,No,Mechanical Switches,Mechanical Encoder,Plastic,Wireless,PixArt,Unspecified,Unspecified
Fantech,Tanto S,Fantech Tanto S,Medium,122.0,64.0,36.5,58.0,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (53%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Green Shell White Dot,Encoder,Plastic,Wireless,PixArt,Huano,F-Switch
Fantech,Tanto,Fantech Tanto,Medium,122.0,64.0,36.5,58.0,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (53%),26000.0,1000.0,650.0,50.0,2.0,0.0,No,Transparent Green Shell White Dot,Encoder,Plastic,Wireless,PixArt,Huano,F-Switch
Metaphyuni,M6,Metaphyuni M6,Medium,119.0,61.0,39.0,51.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3950,Optical,Forward (55%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Gold,Magnesium (metal),Wireless,PixArt,Omron,TTC
Keychron,M3 Mini 8K,Keychron M3 Mini 8K,Medium,119.9,65.3,38.9,55.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3950,Optical,Centered (50%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified
EWEADN,X23 Max,EWEADN X23 Max,Medium,118.0,61.0,41.0,56.0,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Forward (56%),26000.0,1000.0,650.0,50.0,2.0,0.0,No,GM 8.0,GE 2.0,Plastic,Wireless,PixArt,Kailh,Kailh
