Brand,Model,Name,Size,Length (mm),Width (mm),Height (mm),Weight (grams),Shape,Hand compatibility,Hump placement,Front flare,Side curvature,Thumb rest,Ring finger rest,Sensor,Sensor type,Sensor position,DPI,Polling rate (Hz),Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons,Hot-swap switches,Switches,Scroll wheel encoder,Material,Connectivity,Sensor brand,Switches brand,Scroll wheel encoder brand
PureTrak,Valor Wireless,PureTrak Valor Wireless,Large,125,63,39.8,63,Symmetrical,Right,Back - moderate,Outward - slight,Flat,No,No,PAW3395,Optical,-,26000,1000,650,50,2,1,No,GM 8.0,Mechanical Encoder,Plastic,Wireless,PixArt,Kailh,Unspecified
ASUS,ROG Harpe Ace,ASUS ROG Harpe Ace,Large,127.5,63.7,39.6,54,Symmetrical,Right,Back - moderate,Outward - slight,Flat,No,No,ROG AimPoint,Optical,Centered (50%),36000,1000,650,50,2,0,No,ROG Micro Switch,Gold,Plastic,Wireless,ASUS,ASUS,TTC
Xenics,Titan GX Air Wireless,Xenics Titan GX Air Wireless,Medium,120,60,38,76,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3370,Optical,Forward (55%),19000,1000,400,50,2,1,No,D2FC-F-7N(20M),Mechanical Encoder,Plastic,Wireless,PixArt,Omron,Unspecified
Xtrfy,M42 (lower back),Xtrfy M42 (lower back),Medium,118,63,38,59,Symmetrical,Right,Back - minimal,Outward - slight,Flat,No,No,PMW3389,Optical,Centered (51%),16000,1000,400,50,2,1,No,D2FC-F-7N(20M),Black,Plastic,Wired,PixArt,Omron,F-Switch
Tecware,Pulse Elite,Tecware Pulse Elite,Large,125,63.5,40,70,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3370,Optical,Forward (54%),19000,1000,400,50,2,1,Yes,GM 8.0 Huano Blue Shell White Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Kailh,Unspecified
SPC,Gear LIX Plus Wireless,SPC Gear LIX Plus Wireless,Large,126,65.7,38.5,69,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3370,Optical,Forward (55%),19000,1000,400,50,2,1,No,GM 8.0,Silver,Plastic,Wireless,PixArt,Kailh,TTC
ELECOM,VM600PE,ELECOM VM600PE,Large,123.5,66.5,42,75,Ergonomic,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,-,26000,1000,650,50,2,2,No,Mechanical Switches,Mechanical Encoder,Plastic,Wireless,PixArt,Unspecified,Unspecified
Glorious,Model I 2 Wireless,Glorious Model I 2 Wireless,Large,129,72,42,75,Ergonomic,Right,Back - minimal,Flat,Inward,Yes,No,BAMF 2.0,Optical,Centered (52%),26000,1000,650,50,4,2,No,Mouse Switches,Encoder,Plastic,Wireless,Glorious,Glorious,F-Switch
Glorious,Model O 2 Wired,Glorious Model O 2 Wired,Large,126,66,38,59,Symmetrical,Right,Center,Flat,Inward,No,No,BAMF 2.0,Optical,Forward (55%),26000,1000,650,50,2,1,No,Mouse Switches,Encoder,Plastic,Wired,Glorious,Glorious,F-Switch
Razer,Basilisk X HyperSpeed,Razer Basilisk X HyperSpeed,Large,130,75,42,83,Ergonomic,Right,Back - minimal,Flat,Flat,Yes,No,5G,Optical,Backward (46%),16000,1000,450,50,2,0,No,Mechanical Mouse Switches,Black,Plastic,Wireless,Razer,Razer,TTC
Glorious,Model O 2 Wireless,Glorious Model O 2 Wireless,Large,126,66,38,68,Symmetrical,Right,Center,Flat,Inward,No,No,BAMF 2.0,Optical,Forward (55%),26000,1000,650,50,2,1,No,Mouse Switches,Encoder,Plastic,Wireless,Glorious,Glorious,F-Switch
Cooler,Master MM712,Cooler Master MM712,Small,116.6,62.6,38.3,58,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3370,Optical,Forward (62%),19000,1000,400,50,2,0,No,D2FC-F-7N(20M),Encoder,Plastic,Wired,PixArt,Omron,Alps
G-Wolves,HSK Pro 4K,G-Wolves HSK Pro 4K,Fingertip,73.3,56,29,29,Symmetrical,Right,Back - aggressive,Inward - moderate,Flat,No,No,PAW3395,Optical,Centered (51%),26000,4000,650,50,2,0,No,DF3-P1L1,Gold,Plastic,Wireless,PixArt,Zippy,TTC
G-Wolves,HSK Pro Ace,G-Wolves HSK Pro Ace,Fingertip,73.3,56,29,25,Symmetrical,Right,Back - aggressive,Inward - moderate,Flat,No,No,PAW3395,Optical,Centered (51%),26000,1000,650,50,2,0,No,DF3-P1L1,Gold,Plastic,Wireless,PixArt,Zippy,TTC
Logitech,M100,Logitech M100,Small,113,62,38,90,Symmetrical,Ambidextrous,Back - minimal,Inward - moderate,Flat,No,No,,-,Centered (47%),1000,125,,,0,0,No,Mechanical Switches,,Plastic,Wired,-,Unspecified,-
Dornfinger,Veno-S,Dornfinger Veno-S,Large,126,63.3,38.4,68,Symmetrical,Ambidextrous,Center,Flat,Flat,No,No,PAW3370,Optical,Forward (63%),19000,1000,400,50,2,1,No,Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wired,PixArt,Huano,Unspecified
Xtrfy,M8 Wireless,Xtrfy M8 Wireless,Small,118,60.5,38.5,55,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395,Optical,Centered (52%),26000,1000,650,50,2,0,No,GM 8.0,Pink,Plastic,Wireless,PixArt,Kailh,F-Switch
Corsair,Dark Core RGB Pro SE,Corsair Dark Core RGB Pro SE,Large,127,81,43,137,Ergonomic,Right,Center,Inward - slight,Flat,Yes,No,PAW3392,Optical,Forward (59%),18000,2000,400,40,2,1,No,D2FC-F-K(50M),Black,Plastic,Wireless,PixArt,Omron,Kailh
SteelSeries,Kinzu V3,SteelSeries Kinzu V3,Small,117,63.5,35.4,77,Symmetrical,Ambidextrous,Back - minimal,Flat,Inward,No,No,A3050,Optical,Centered (48%),4000,1000,60,20,0,1,No,Black Shell Orange Dot 10M,Black,Plastic,Wired,Avago,SteelSeries,TTC
SteelSeries,Rival 300,SteelSeries Rival 300,Large,133,70,45,130,Ergonomic,Right,Back - minimal,Outward - moderate,Flat,No,No,PMW3310,Optical,Centered (51%),6500,1000,130,30,2,1,No,Black Shell Orange Dot 30M,Mechanical Encoder,Plastic,Wired,PixArt,SteelSeries,Unspecified
Xtrfy,M42 Wireless,Xtrfy M42 Wireless,Medium,118,63,38,67,Symmetrical,Right,Back - moderate,Outward - slight,Flat,No,No,PAW3370,Optical,Centered (51%),19000,1000,400,50,2,1,No,GM 8.0,Pink,Plastic,Wireless,PixArt,Kailh,F-Switch
Logitech,MX Anywhere,Logitech MX Anywhere,Fingertip,100.5,65,34.4,99,Symmetrical,Right,Back - minimal,Inward - slight,Inward,No,No,Darkfield,Laser,Backward (44%),1000,125,,,2,1,No,Mechanical Switches,,Plastic,Wireless,Logitech,Unspecified,-
Ninjutso,Sora,Ninjutso Sora,Medium,120.8,64.5,37.3,43,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (56%),26000,1000,650,50,2,0,No,Black Shell Pink Dot,Silver,Plastic,Wireless,PixArt,Huano,TTC
G-Wolves,HTS Plus 4K,G-Wolves HTS Plus 4K,Small,117,61,40,49,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3399,Optical,Forward (58%),20000,4000,650,50,2,1,No,DF3-P1L1,Gold,Plastic,Wireless,PixArt,Zippy,TTC
Midnight,Thread C1,Midnight Thread C1,Medium,118,70,37,48,Symmetrical,Ambidextrous,Back - moderate,Outward - moderate,Flat,No,No,PAW3395,Optical,-,32000,1000,650,50,0,0,No,Blue Shell White Dot,Mechanical Encoder,Carbon fiber,Wireless,PixArt,Huano,Unspecified
Nixeus,Revel,Nixeus Revel,Large,125.6,67.5,39,85,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PMW3360,Optical,Centered (52%),12000,1000,250,50,2,1,No,D2FC-F-7N(20M),Mechanical Encoder,Plastic,Wired,PixArt,Omron,Unspecified
LAMZU,Atlantis Mini,LAMZU Atlantis Mini,Small,116.9,63.1,37,49,Symmetrical,Right,Back - moderate,Outward - slight,Inward - aggressive,No,No,PAW3395,Optical,Forward (55%),19000,1000,650,50,2,0,No,Transparent Blue Shell Pink Dot,Silver,Plastic,Wireless,PixArt,Huano,TTC
Vancer,Gemini Castor,Vancer Gemini Castor,Medium,120.7,60.9,36.5,52,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (53%),26000,1000,650,50,2,1,No,Dustproof Gold 60M,Gold,Plastic,Wireless,PixArt,TTC,TTC
Vancer,Gemini Pollux,Vancer Gemini Pollux,Medium,119.3,64.4,38.4,52,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Forward (56%),26000,1000,650,50,2,1,No,Dustproof Gold 60M,Gold,Plastic,Wireless,PixArt,TTC,TTC
Finalmouse,Starlight-12 Small,Finalmouse Starlight-12 Small,Small,115.6,60,35.2,42,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3370,Optical,Centered (50%),20000,1000,400,50,2,1,No,D2FC-F-7N(20M) Kailh GM 8.0,Silver,Magnesium (metal),Wireless,PixArt,Omron,TTC
